Sensor 0052 - site1
Site 1
date [EST]	salinity [PSU]	temperature [C]
2014-05-14 15:00:00	28.04	10.00
2014-05-14 15:30:00	28.04	10.04
2014-05-14 16:00:00	28.08	10.14
2014-05-14 16:30:00	28.09	10.16
2014-05-14 17:00:00	28.04	10.10
2014-05-14 17:30:00	28.05	10.06
2014-05-14 18:00:00	28.08	10.04
2014-05-14 18:30:00	28.22	10.06
2014-05-15 19:00:00	28.29	9.94
2014-05-15 19:30:00	28.35	9.88
2014-05-15 20:00:00	28.04	10.12
2014-05-15 20:30:00	28.02	9.99
2014-05-15 21:00:00	27.82	9.88
2014-05-15 21:30:00	27.79	10.02
2014-05-15 22:00:00	27.80	9.92
2014-05-15 22:30:00	27.74	9.77
2014-05-15 23:00:00	27.53	9.78
2014-05-15 23:30:00	27.35	9.93
2014-05-16 00:00:00	27.34	9.93
2014-05-16 00:30:00	27.47	9.78
2014-05-16 01:00:00	27.49	9.76
2014-05-16 01:30:00	27.46	9.82
2014-05-16 02:00:00	27.52	9.74
2014-05-16 02:30:00	27.51	9.82
2014-05-16 03:00:00	27.58	9.81
2014-05-16 03:30:00	28.05	9.76
2014-05-16 04:00:00	28.11	9.78
2014-05-16 04:30:00	28.01	9.78
2014-05-16 05:00:00	28.38	9.82
2014-05-16 05:30:00	28.55	9.79
2014-05-16 06:00:00	28.12	9.81
2014-05-16 06:30:00	28.05	9.81
2014-05-16 07:00:00	28.12	9.83
2014-05-16 07:30:00	28.10	9.91
2014-05-16 08:00:00	28.21	9.97
2014-05-16 08:30:00	28.28	10.02
2014-05-16 09:00:00	27.98	10.07
2014-05-16 09:30:00	27.81	10.23
2014-05-16 10:00:00	27.87	10.22
2014-05-16 10:30:00	27.90	10.18
2014-05-16 11:00:00	27.83	10.24
2014-05-16 11:30:00	27.93	10.04
2014-05-16 12:00:00	27.58	10.68
2014-05-16 12:30:00	27.46	10.79
2014-05-16 13:00:00	27.54	10.72
2014-05-16 13:30:00	27.89	10.63
2014-05-16 14:00:00	27.88	10.81
2014-05-16 14:30:00	28.00	10.52
2014-05-16 15:00:00	27.97	10.65
2014-05-16 15:30:00	28.21	10.39
2014-05-16 16:00:00	28.17	10.60
2014-05-16 16:30:00	28.18	10.65
2014-05-16 17:00:00	28.15	10.66
2014-05-16 17:30:00	28.26	10.66
2014-05-16 18:00:00	28.41	10.70
2014-05-16 18:30:00	28.33	10.73
2014-05-17 19:00:00	28.33	10.54
2014-05-17 19:30:00	28.33	10.50
2014-05-17 20:00:00	28.30	10.47
2014-05-17 20:30:00	28.33	10.48
2014-05-17 21:00:00	28.32	10.44
2014-05-17 21:30:00	28.33	10.36
2014-05-17 22:00:00	28.42	10.26
2014-05-17 22:30:00	28.25	10.42
2014-05-17 23:00:00	28.38	10.21
2014-05-17 23:30:00	28.25	10.16
2014-05-18 00:00:00	28.24	10.25
2014-05-18 00:30:00	28.23	10.25
2014-05-18 01:00:00	28.17	10.31
2014-05-18 01:30:00	28.19	10.34
2014-05-18 02:00:00	28.38	10.28
2014-05-18 02:30:00	28.35	10.27
2014-05-18 03:00:00	28.41	10.41
2014-05-18 03:30:00	28.59	10.51
2014-05-18 04:00:00	28.59	10.52
2014-05-18 04:30:00	28.61	10.49
2014-05-18 05:00:00	28.70	10.47
2014-05-18 05:30:00	28.70	10.35
2014-05-18 06:00:00	28.72	10.39
2014-05-18 06:30:00	28.79	10.20
2014-05-18 07:00:00	28.74	10.38
2014-05-18 07:30:00	28.78	10.44
2014-05-18 08:00:00	28.70	10.72
2014-05-18 08:30:00	28.71	10.70
2014-05-18 09:00:00	28.78	10.46
2014-05-18 09:30:00	28.80	10.31
2014-05-18 10:00:00	28.82	10.31
2014-05-18 10:30:00	28.92	10.31
2014-05-18 11:00:00	28.95	10.20
2014-05-18 11:30:00	28.89	10.34
